barcode,num_channels,channels,total_cycles_max,batches
el150800737365,1,['FastCharge_000012_CH45_structure.json'],923,['batch3']
el150800739495,1,['FastCharge_000012_CH5_structure.json'],786,['batch3']
EL150800463980,1,['FastCharge_000013_CH13_structure.json'],905,['batch3']
EL150800463882,1,['FastCharge_000013_CH14_structure.json'],788,['batch3']
EL150800460653,1,['FastCharge_000014_CH23_structure.json'],862,['batch3']
EL150800460522,1,['FastCharge_000014_CH24_structure.json'],857,['batch3']
el150800737294,1,['FastCharge_000015_CH12_structure.json'],1267,['batch3']
el150800739476,1,['FastCharge_000015_CH14_structure.json'],1048,['batch3']
el150800737276,1,['FastCharge_000015_CH20_structure.json'],817,['batch3']
el150800737319,1,['FastCharge_000015_CH22_structure.json'],816,['batch3']
el150800737274,1,['FastCharge_000015_CH28_structure.json'],1146,['batch3']
el150800737287,1,['FastCharge_000015_CH36_structure.json'],1028,['batch3']
el150800739477,1,['FastCharge_000015_CH44_structure.json'],1093,['batch3']
el150800737390,1,['FastCharge_000015_CH4_structure.json'],796,['batch3']
el150800460478,1,['FastCharge_000016_CH17_structure.json'],526,['batch3']
el150800737307,1,['FastCharge_000017_CH17_structure.json'],1836,['batch3']
el150800737277,1,['FastCharge_000017_CH1_structure.json'],1078,['batch3']
el150800737345,1,['FastCharge_000017_CH25_structure.json'],1638,['batch3']
el150800737299,1,['FastCharge_000017_CH33_structure.json'],2189,['batch3']
el150800737297,1,['FastCharge_000017_CH41_structure.json'],2237,['batch3']
el150800737364,1,['FastCharge_000017_CH46_structure.json'],1390,['batch3']
el150800737377,1,['FastCharge_000017_CH6_structure.json'],1642,['batch3']
el150800739484,1,['FastCharge_000017_CH9_structure.json'],1801,['batch3']
EL150800464881,1,['FastCharge_000018_CH18_structure.json'],788,['batch3']
EL150800460640,1,['FastCharge_000019_CH29_structure.json'],731,['batch3']
EL150800460436,1,['FastCharge_000019_CH30_structure.json'],757,['batch3']
el150800460501,1,['FastCharge_000020_CH23_structure.json'],563,['batch3']
el150800460510,1,['FastCharge_000021_CH28_structure.json'],492,['batch3']
el150800460614,1,['FastCharge_000022_CH24_structure.json'],496,['batch3']
EL150800460506,1,['FastCharge_000023_CH37_structure.json'],704,['batch3']
EL150800460601,1,['FastCharge_000023_CH38_structure.json'],648,['batch3']
el150800460474,1,['FastCharge_000024_CH45_structure.json'],480,['batch3']
EL150800464883,1,['FastCharge_000025_CH7_structure.json'],1074,['batch3']
EL150800464977,2,"['FastCharge_000026_CH5_structure.json', 'FastCharge_000063_CH5_structure.json']",1226,['batch3']
EL150800464865,2,"['FastCharge_000026_CH6_structure.json', 'FastCharge_000063_CH6_structure.json']",1226,['batch3']
el150800460527,1,['FastCharge_000027_CH31_structure.json'],508,['batch3']
EL150800464898,1,['FastCharge_000028_CH19_structure.json'],878,['batch3']
EL150800460468,1,['FastCharge_000028_CH20_structure.json'],1054,['batch3']
EL150800463886,1,['FastCharge_000029_CH10_structure.json'],636,['batch3']
EL150800465027,1,['FastCharge_000029_CH9_structure.json'],870,['batch3']
el150800460449,1,['FastCharge_000030_CH30_structure.json'],510,['batch3']
el150800460518,1,['FastCharge_000031_CH9_structure.json'],327,['batch3']
el150800463245,1,['FastCharge_000032_CH22_structure.json'],541,['batch3']
el150800460635,1,['FastCharge_000033_CH14_structure.json'],508,['batch3']
el150800460466,1,['FastCharge_000034_CH27_structure.json'],506,['batch3']
el150800460673,1,['FastCharge_000035_CH12_structure.json'],362,['batch3']
el150800460599,1,['FastCharge_000036_CH48_structure.json'],746,['batch3']
EL150800460472,1,['FastCharge_000037_CH21_structure.json'],901,['batch3']
EL150800460658,1,['FastCharge_000037_CH22_structure.json'],896,['batch3']
el150800460655,1,['FastCharge_000038_CH13_structure.json'],472,['batch3']
EL150800460507,1,['FastCharge_000039_CH27_structure.json'],860,['batch3']
EL150800460644,1,['FastCharge_000039_CH28_structure.json'],917,['batch3']
el150800460608,1,['FastCharge_000040_CH32_structure.json'],520,['batch3']
el150800460605,1,['FastCharge_000041_CH10_structure.json'],171,['batch3']
el150800460628,1,['FastCharge_000042_CH36_structure.json'],487,['batch3']
el150800460451,1,['FastCharge_000043_CH16_structure.json'],597,['batch3']
EL150800464002,1,['FastCharge_000044_CH11_structure.json'],534,['batch3']
EL150800463871,1,['FastCharge_000044_CH12_structure.json'],559,['batch3']
EL150800460433,1,['FastCharge_000046_CH31_structure.json'],890,['batch3']
EL150800460477,1,['FastCharge_000046_CH32_structure.json'],1014,['batch3']
el150800460603,1,['FastCharge_000047_CH21_structure.json'],521,['batch3']
EL150800463229,1,['FastCharge_000048_CH43_structure.json'],966,['batch3']
EL150800460647,1,['FastCharge_000048_CH44_structure.json'],1051,['batch3']
el150800460528,1,['FastCharge_000049_CH37_structure.json'],561,['batch3']
el150800737285,1,['FastCharge_000050_CH32_structure.json'],1002,['batch3']
el150800737279,1,['FastCharge_000050_CH40_structure.json'],731,['batch3']
EL150800463838,1,['FastCharge_000051_CH15_structure.json'],880,['batch3']
EL150800453113,1,['FastCharge_000051_CH16_structure.json'],719,['batch3']
el150800460526,1,['FastCharge_000052_CH41_structure.json'],531,['batch3']
el150800460513,1,['FastCharge_000053_CH42_structure.json'],453,['batch3']
el150800460634,1,['FastCharge_000054_CH15_structure.json'],546,['batch3']
el150800460652,1,['FastCharge_000055_CH20_structure.json'],532,['batch3']
el150800460602,1,['FastCharge_000056_CH11_structure.json'],465,['batch3']
EL150800460615,1,['FastCharge_000057_CH35_structure.json'],709,['batch3']
EL150800460481,1,['FastCharge_000057_CH36_structure.json'],876,['batch3']
EL150800460618,1,['FastCharge_000058_CH45_structure.json'],702,['batch3']
EL150800460636,1,['FastCharge_000058_CH46_structure.json'],651,['batch3']
el150800460631,1,['FastCharge_000059_CH33_structure.json'],545,['batch3']
el150800463208,1,['FastCharge_000060_CH29_structure.json'],521,['batch3']
el150800460473,1,['FastCharge_000061_CH43_structure.json'],493,['batch3']
el150800460678,1,['FastCharge_000062_CH47_structure.json'],450,['batch3']
el150800460649,1,['FastCharge_000064_CH39_structure.json'],488,['batch3']
EL150800460659,1,['FastCharge_000065_CH33_structure.json'],870,['batch3']
EL150800463198,1,['FastCharge_000065_CH34_structure.json'],842,['batch3']
EL150800460630,1,['FastCharge_000066_CH25_structure.json'],1017,['batch3']
EL150800460617,1,['FastCharge_000066_CH26_structure.json'],854,['batch3']
EL150800453773,1,['FastCharge_000067_CH41_structure.json'],617,['batch3']
EL150800460642,1,['FastCharge_000067_CH42_structure.json'],625,['batch3']
el150800460511,1,['FastCharge_000068_CH38_structure.json'],503,['batch3']
el150800460610,1,['FastCharge_000069_CH25_structure.json'],542,['batch3']
el150800460613,1,['FastCharge_000070_CH46_structure.json'],515,['batch3']
el150800460627,1,['FastCharge_000071_CH40_structure.json'],481,['batch3']
el150800460641,1,['FastCharge_000072_CH34_structure.json'],547,['batch3']
el150800460492,1,['FastCharge_000073_CH35_structure.json'],527,['batch3']
