filename,status,total_cycles,initial_capacity
FastCharge_000017_CH33_structure.json,OK,2189,1.06644606590271
FastCharge_000017_CH41_structure.json,OK,2237,1.0730135440826416
FastCharge_000017_CH46_structure.json,OK,1390,1.0478870868682861
FastCharge_000017_CH6_structure.json,OK,1642,1.0674092769622803
FastCharge_000017_CH9_structure.json,OK,1801,1.0699008703231812
FastCharge_000018_CH18_structure.json,OK,788,1.0856977701187134
FastCharge_000019_CH29_structure.json,OK,731,1.0783350467681885
FastCharge_000019_CH30_structure.json,OK,757,1.0931296348571777
FastCharge_000020_CH23_structure.json,OK,563,1.0752694606781006
FastCharge_000021_CH28_structure.json,OK,492,1.0715478658676147
FastCharge_000022_CH24_structure.json,OK,496,1.0665253400802612
FastCharge_000023_CH37_structure.json,OK,704,1.0784753561019897
FastCharge_000023_CH38_structure.json,OK,648,1.0753310918807983
FastCharge_000024_CH45_structure.json,OK,480,1.0712926387786865
FastCharge_000025_CH7_structure.json,OK,1074,1.0765011310577393
FastCharge_000026_CH5_structure.json,OK,209,0.9710330963134766
FastCharge_000026_CH6_structure.json,OK,483,1.010329008102417
FastCharge_000027_CH31_structure.json,OK,508,1.067594289779663
FastCharge_000028_CH19_structure.json,OK,878,1.0906641483306885
FastCharge_000028_CH20_structure.json,OK,1054,1.0834321975708008
FastCharge_000029_CH10_structure.json,OK,636,1.0767313241958618
FastCharge_000029_CH9_structure.json,OK,870,1.094476580619812
FastCharge_000030_CH30_structure.json,OK,510,1.0786103010177612
FastCharge_000031_CH9_structure.json,OK,327,1.070979118347168
FastCharge_000032_CH22_structure.json,OK,541,1.0803831815719604
FastCharge_000033_CH14_structure.json,OK,508,1.0683567523956299
FastCharge_000034_CH27_structure.json,OK,506,1.0722017288208008
FastCharge_000035_CH12_structure.json,OK,362,1.067015290260315
FastCharge_000036_CH48_structure.json,OK,746,1.0431514978408813
FastCharge_000037_CH21_structure.json,OK,901,1.0781440734863281
FastCharge_000037_CH22_structure.json,OK,896,1.0804847478866577
FastCharge_000038_CH13_structure.json,OK,472,1.0731871128082275
FastCharge_000039_CH27_structure.json,OK,860,1.0783377885818481
FastCharge_000039_CH28_structure.json,OK,917,1.079994797706604
FastCharge_000040_CH32_structure.json,OK,520,1.0740604400634766
FastCharge_000041_CH10_structure.json,OK,171,1.0718307495117188
FastCharge_000042_CH36_structure.json,OK,487,1.0691392421722412
FastCharge_000043_CH16_structure.json,OK,597,1.0696618556976318
FastCharge_000044_CH11_structure.json,OK,534,1.0732091665267944
FastCharge_000044_CH12_structure.json,OK,559,1.0830820798873901
FastCharge_000045_CH1_structure.json,OK,1189,1.0714863538742065
FastCharge_000045_CH2_structure.json,OK,1178,1.0759769678115845
FastCharge_000045_CH3_structure.json,OK,1176,1.0807139873504639
FastCharge_000046_CH31_structure.json,OK,890,1.079945683479309
FastCharge_000046_CH32_structure.json,OK,1014,1.0798991918563843
FastCharge_000047_CH21_structure.json,OK,521,1.0772426128387451
FastCharge_000048_CH43_structure.json,OK,966,1.0839530229568481
FastCharge_000048_CH44_structure.json,OK,1051,1.0796068906784058
FastCharge_000049_CH37_structure.json,OK,561,1.079455018043518
FastCharge_000050_CH32_structure.json,OK,1002,1.0567147731781006
FastCharge_000050_CH40_structure.json,OK,731,1.0688254833221436
FastCharge_000051_CH15_structure.json,OK,880,1.07143235206604
FastCharge_000051_CH16_structure.json,OK,719,1.0621633529663086
FastCharge_000052_CH41_structure.json,OK,531,1.0777604579925537
FastCharge_000053_CH42_structure.json,OK,453,1.069281816482544
FastCharge_000054_CH15_structure.json,OK,546,1.0693389177322388
FastCharge_000055_CH20_structure.json,OK,532,1.0837377309799194
FastCharge_000056_CH11_structure.json,OK,465,1.0745177268981934
FastCharge_000057_CH35_structure.json,OK,709,1.080438494682312
FastCharge_000057_CH36_structure.json,OK,876,1.0952519178390503
FastCharge_000058_CH45_structure.json,OK,702,1.0806328058242798
FastCharge_000058_CH46_structure.json,OK,651,1.0689220428466797
FastCharge_000059_CH33_structure.json,OK,545,1.075042486190796
FastCharge_000060_CH29_structure.json,OK,521,1.0806411504745483
FastCharge_000061_CH43_structure.json,OK,493,1.0788573026657104
FastCharge_000062_CH47_structure.json,OK,450,1.073249101638794
FastCharge_000063_CH5_structure.json,OK,1226,1.0805153846740723
FastCharge_000063_CH6_structure.json,OK,1226,1.078731894493103
FastCharge_000064_CH39_structure.json,OK,488,1.0703175067901611
FastCharge_000065_CH33_structure.json,OK,870,1.0881484746932983
FastCharge_000065_CH34_structure.json,OK,842,1.0794758796691895
FastCharge_000066_CH25_structure.json,OK,1017,1.0749876499176025
FastCharge_000066_CH26_structure.json,OK,854,1.0756776332855225
FastCharge_000067_CH41_structure.json,OK,617,1.0732603073120117
FastCharge_000067_CH42_structure.json,OK,625,1.0824556350708008
FastCharge_000068_CH38_structure.json,OK,503,1.0752699375152588
FastCharge_000069_CH25_structure.json,OK,542,1.0723273754119873
FastCharge_000070_CH46_structure.json,OK,515,1.0708204507827759
FastCharge_000071_CH40_structure.json,OK,481,1.0792243480682373
FastCharge_000072_CH34_structure.json,OK,547,1.0797220468521118
FastCharge_000073_CH35_structure.json,OK,527,1.0694410800933838
